sketch,f01,f02,f03,f04,f05,f06,f07,f08,f09,f10,f11,f12,f13
shape_1,-0.898216722048,0.439552863981,271.764604023,0.827040742496,115.879247495,-0.362446261155,0.932004671541,610.442150505,6.283185307179587,9.42477796076938,4.773550034008046,2.7578125,813
shape_2,-0.4472135955,-0.894427191,229.381777829,0.83474079565,115.550854605,-0.917345011096,0.398093118023,459.762533819,7.853981633974483,8.258433351550822,2.8019105810126796,3.72265625,515
shape_3,0.0,1.0,457.831846861,0.655296105687,102.142057939,0.949657780128,0.313289164578,966.894431566,-1.5707963267948966,8.57130427531412,2.511303338828076,12.86328125,812
shape_4,-0.0905357460425,0.995893206468,245.595195393,0.828598933732,73.7902432575,0.4472135955,0.894427191,528.373886217,4.2487413713838835,9.203022124237119,7.541458484552393,4.84,828
shape_5,0.514495755428,-0.857492925713,518.822705748,0.614199817461,244.626245526,-0.44557770065,-0.895243270113,1185.26950483,0.0,11.425071555349302,4.0424862946608595,7.6640625,1156
shape_6,-0.391555164097,0.920154635629,505.887339237,0.66208339039,249.160590784,0.642156127084,0.766573876706,1122.42793602,8.961130351768574,18.50736319363738,31.18051045469421,9.195555555555556,1531
shape_7,-0.242535625036,0.970142500145,255.007843017,1.56295335036,255.0,0.0,1.0,255.336366152,0.0,0.7815413259084267,0.16923810027518188,3.488888888888889,438
shape_8,0.894427191,0.4472135955,246.343256453,0.052796417699,246.343256453,0.998606592857,0.0527718931184,248.707918639,0.0,6.110388208462692,6.3811792856103855,1.890625,531
