f01,f02,f03,f04,f05,f06,f07,f08,f09,f10,f11,f12,f13,label
-0.7808688094430304,-0.6246950475544243,78.10249675906654,0.8760580505981934,42.0,0.0,1.0,198.93689100467182,8.763734791918692,11.124113358113114,13.890762008128911,0.44140625,625,a
-0.5547001962252291,-0.8320502943378437,89.10667763978185,0.7695264804056583,34.17601498127012,0.3511234415883917,0.9363291775690445,213.9865481702804,9.888425569770185,12.779294136256482,14.019605071750322,0.23555555555555555,890,a
-0.8320502943378437,-0.5547001962252291,102.41581909060729,0.9448715328461078,81.32035415564789,0.28283201959472276,0.9591694577560164,214.09694001255752,10.210176124166829,15.10253014537988,12.150861229930431,0.3515625,922,a
-1.0,0.0,79.02531240052139,0.6688121579361327,42.95346318982906,0.20952908873087348,0.9778024140774095,191.68443249957457,8.63937979737193,10.199705015654013,11.835860256343317,0.33203125,735,a
-0.4472135954999579,-0.8944271909999159,120.91732712891069,0.791246049951337,88.10221336606703,0.44266765283130816,0.8966857582993165,326.70296521306506,10.995574287564274,17.619579691538824,16.805645792012076,0.6622222222222223,969,a
-0.9805806756909202,-0.19611613513818404,106.88779163215975,0.7390737126968415,70.3420215802759,0.25589256031628255,0.9667052278615119,274.0772240229531,8.639379797371932,10.811621608658823,12.508865368323175,0.68,703,a
-0.9486832980505138,-0.31622776601683794,114.97825881443848,0.8716037370732271,80.00624975587844,0.01249902355192602,0.9999218841540816,292.37855046740947,8.961130351768574,9.798738970380146,11.929382546311588,0.5422222222222223,875,a
-0.6401843996644799,-0.7682212795973759,97.082439194738,0.9685089806599324,51.03920062069938,0.039185566695354605,0.9992319507315425,256.9353571096773,9.001924034636442,10.333620381088018,12.299848703064516,0.45703125,703,a
-0.8320502943378437,-0.5547001962252291,83.60023923410746,0.6411087688597059,44.91102314577124,0.20039623614870658,0.9797149322825655,214.84808928693272,8.63937979737193,13.3532112112857,14.607915024601358,0.28515625,875,a
0.0,-1.0,85.7962703152066,0.8596416150490297,46.389654018972806,0.12933918406776806,0.9916004111862218,212.57109668814093,10.995574287564278,14.441841962168118,15.870610584007567,0.3288888888888889,859,a
