Angle of BB diagonal,Aspect,Average curvature,Average squared speed,Bounding box area,Bounding box diagonal,Bounding box height,Bounding box width,Convex hull area ratio,Cos of first to last,Cos of initial angle,Curviness,DCR,Density 1,Density 2,Distance first to last,Enclosing rectangle ratio,Entropy,Least square error,Length perimeter ratio,Length ratio,Log BB area,Log aspect,Log longest BB side,Log total length,Max curvature,Max speed squared,Min speed squared,Movement,NDDE,Openness,Overtracing,Perimeter efficiency,Perimeter to area,Point ratio,Sharpness,Sin of first to last,Sin of initial angle,Thinness ratio,Total angle,Total angle / total length,Total duration,Total length,Total length / BB diagonal,Width to height ratio,label
0.015956092546751200,0.769442070850697,0.22458014931893800,11.993275556073500,9024.0,752.095738586518,12.0,752.0,0.7085549645390050,1.0,0.0,0.32427999127197600,10.762338171579100,1.017275322145290,0.08409656364365950,746.0,62.666666666666700,2.828807628620000,210.72597154511800,0.5042991275169930,1.017275322145290,9.10764297373784,-0.2620896100825540,6.62273632394984,6.631853400539030,2.819842099193150,36.0,0.02040816326530610,3.1441220904651300,0.7726114023694220,0.9918949965093880,0.5004025723819480,0.18836583197470300,0.2353512384249490,0.6428571428571430,7.966970090278490,0.0,-1.0,354.1649735076360,3.1441220904651300,0.004143068036929380,284.0,758.8873903203830,1.009030302108390,62.666666666666700,gesture2
0.09545371433271410,0.6899444490647340,0.07030093869463230,38.2700665914514,54144.0,755.4389452497140,72.0,752.0,0.4953915396109240,0.9954477522355210,0.9805806756909200,0.4800187331059330,9.930617055203510,1.0027748078427800,0.013991118926561300,755.4389452497140,0.030500631047539100,2.92786779699338,503.2169979596850,0.5008489796460700,1.0027748078427800,10.899402442965900,-0.37114419323365800,6.62273632394984,6.630069929917590,0.7853981633974480,196.0,0.16326530612244900,1.2654168965033800,0.15492272798977700,1.0,0.20139735415051900,0.2175765995717040,0.17550500339889100,0.5,0.6491702205563540,-0.09530882734169880,-0.19611613513818400,265.45168958710900,1.2654168965033800,0.0016704398573843500,180.0,757.535143159737,1.0027748078427800,10.444444444444400,gesture2
0.09037811769566330,0.695020045701785,0.020556017988249000,32.95925344496770,37120.0,642.622750920009,58.0,640.0,0.4836219834671380,0.9959186771457220,0.9931506043228760,0.28778425183548600,2.582609054766910,1.0004654908549100,0.017320093909852400,642.622750920009,0.012078042737689800,2.141524177953320,34.32439067289020,0.500146011289168,1.0004654908549100,10.521911186900100,-0.36381459109690700,6.461468176353720,6.466023233084500,0.06193618455080410,76.11111111111110,1.3265306122449000,0.2877842518354870,0.80060189383256,1.0,0.04580228622362050,0.13543539645490200,0.5329470920708790,0.5,0.011856123173167200,-0.09025513011633100,-0.1168412475673970,685.0866383077030,0.2877842518354870,0.0004476193113530960,139.0,642.9218859337220,1.0004654908549100,11.03448275862070,gesture2
0.07175818590861520,0.7136399774888330,0.08150137591864720,24.636612068563000,64328.0,948.440825776706,68.0,946.0,0.6547999671086110,0.9974264859647860,0.7071067811865480,0.6271257297004260,7.884511029195530,1.002829115896060,0.014785537787485700,948.440825776706,0.024407350259503300,3.6723168785294100,1166.9454798860400,0.500783680373374,1.002829115896060,11.071750274228000,-0.33737667701978400,6.852242569051880,6.857644521746450,0.7853981633974480,75.22222222222220,0.0,1.7930302702102400,0.714001563823844,1.0,0.28536963061735600,0.223788083467039,0.13211403076612700,0.5,0.8074851938054860,-0.07169661844144340,-0.7071067811865480,250.9203877929280,1.7930302702102400,0.0018851696826197500,239.0,951.1240747933800,1.002829115896060,13.911764705882400,gesture2
1.5472404752137800,0.7618423118163290,0.028258198617723900,29.083635674931100,13752.0,764.2120124677440,764.0,18.0,0.667592489494264,-0.020937817379538400,-0.13511320473331300,0.45213117788358300,2.8072348975173800,1.0008754316363800,0.05561638287698530,764.167520901013,0.010522213561964300,2.8863379710301500,251949.64705881800,0.5002811848761410,1.0008754316363800,9.528939547062680,-0.27201568458408500,6.638567789166520,6.639662081995400,0.09065988720074510,84.64,0.0,0.45213117788358300,0.8691344851029850,0.9999417811209380,0.07195891188613330,0.14850747904430800,0.3726994725323320,0.5,0.02758300225847450,0.9997807798729580,0.9908301680442990,569.7878867797460,0.45213117788358300,0.0005911474929155650,180.0,764.8364973243020,1.0008171617906700,0.02356020942408380,gesture1
1.5553654529042000,0.7699672895067540,0.021322704282036600,23.910172226103300,6480.0,648.0771559004380,648.0,10.0,0.31388888888888300,0.01234473828166940,-0.06651901052377390,0.3198405642305490,2.705679722544260,1.0003841431350800,0.10004603774002400,648.0493808345160,0.015432098765432100,2.860022244834500,141036.45739907900,0.5001261660816110,1.0003841431350800,8.776475789346320,-0.26140724619681800,6.473890696352270,6.4743509678113600,0.06656816377582380,87.11111111111110,0.0,0.3198405642305490,0.87951330622118,0.9999571423469130,0.05090420679859270,0.12333464385098900,0.6373006679493120,0.5333333333333330,0.014493559138355500,0.9999238008152210,0.9977851578566090,826.1134555437970,0.3198405642305490,0.0004933539886130580,180.0,648.2983245553580,1.0003412690185200,0.015432098765432100,gesture1
1.5211134890709400,0.735715325673491,0.05588190664339090,15.78206338118200,26064.0,724.8944750789590,724.0,36.0,0.6435750552517450,-0.04140093702973150,-0.11043152607484700,1.1735200395112100,3.4177288807975900,1.0029179456125800,0.02788273810159680,724.6212803941100,0.02569244266198760,2.1683633127487900,354206.9879981970,0.5009648793530490,1.0029179456125800,10.168310330841800,-0.30691202084388400,6.584791392385720,6.588562843173490,0.21109333322274700,52.05555555555560,0.19753086419753100,1.1735200395112100,0.17220805693156700,0.999623124890255,0.1867715151056050,0.2276908700294690,0.16708960204827400,0.42857142857142900,0.14966207065021500,0.9991426136508540,0.9938837346736190,242.3921946480320,1.1735200395112100,0.0016147824612330200,200.0,726.7356858800190,1.0025399708017600,0.049723756906077300,gesture1
1.5281087067976100,0.7427105434001630,0.055908783499704900,39.81662646326340,27064.0,796.7257997579850,796.0,34.0,0.5670366596996940,-0.037661704008669000,-0.3511234415883920,0.7827229689958690,3.3524343278869000,1.0026663904800900,0.02951112473005800,796.565126025487,0.023520975259949800,2.141524177953320,194692.39095787900,0.5008579552850400,1.0026663904800900,10.205959710460500,-0.29744888836596000,6.679599185844380,6.68297173322976,0.21866894587394200,256.0,0.35555555555555600,0.7827229689958690,0.83453202600608,0.9997983324594910,0.12457422958725700,0.2044929180650670,0.1884473997285360,0.6428571428571430,0.10553695150633100,0.9992905463633510,0.9363291775690450,300.5061188941490,0.7827229689958690,0.0009800096043575140,200.0,798.6890796942900,1.002464185215170,0.04271356783919600,gesture1
0.07757510394845260,0.7078230594489960,0.06848246348780130,22.268389427875600,70448.0,954.8717191329940,74.0,952.0,0.6295101515479900,0.9971522434139280,0.9486832980505140,1.1799315147064200,5.56880513647765,1.0018613775026100,0.013577332200744700,954.7188067698260,0.022206747137109300,2.1688805442555400,894.1171413777480,0.5005516970542970,1.0018613775026100,11.162630127995500,-0.34556113255512500,6.858565034791370,6.863276501237100,0.4636476090008060,83.17355371900830,0.03305785123966940,1.6435791237072300,0.849424982598906,0.9998398608314560,0.2615837419006510,0.209406210768002,0.14996730029321900,0.5,0.38193699226691800,-0.07541487555231390,-0.31622776601683800,286.57001572550700,1.6435791237072300,0.0017183336861507600,234.0,956.4958988780630,1.0017009402546200,12.864864864864900,gesture2
0.03476859185608240,0.7506295715413660,0.02737388520381450,26.622614165107800,29440.0,920.5563535167200,32.0,920.0,0.5493412901070810,0.9993956333964840,1.0,0.6295993596877330,3.3490238900746000,1.0004613218853200,0.03128332290452680,920.5563535167200,0.01035404141616590,2.1690409708783600,172.8107652751660,0.5001852091568890,1.0004613218853200,10.290109572842800,-0.2868429958532080,6.824373670043090,6.8254394348588100,0.11065722117389600,144.25,0.1111111111111110,0.6295993596877330,0.02823076616919260,1.0,0.10020385026179500,0.13366220249613300,0.38200830057728100,0.34782608695652200,0.04293259972743650,-0.03476158724857340,0.0,703.3842470419220,0.6295993596877330,0.0006836181655237610,222.0,920.98102630927,1.0004613218853200,28.75,gesture2
